item_id,model_label,n_params_b,source_benchmark,topic,has_diagram,answer_type,d_c,question_chars,answer_chars,solution_chars,tokens_in,tokens_out,latency_s,is_correct,answer_type_proxy,benchmark_difficulty,benchmark_subfield,question_number_count,solution_number_count,question_equation_count,solution_equation_count,body_entity_term_count,latex_symbol_count
PHYBench_495,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,2266,94,4588,529.0,530.0,11.48,0,formula,,,3,120,2,22,4,254
PHYBench_600,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,731,24,551,258.0,697.0,15.14,0,formula,,,13,20,1,5,0,29
PHYBench_285,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,593,26,1341,198.0,442.0,9.47,0,formula,,,1,29,0,7,9,59
PHYBench_321,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1139,101,724,335.0,423.0,9.11,0,formula,,,2,32,2,7,10,74
PHYBench_674,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,4,554,32,1822,198.0,502.0,10.75,0,formula,,,1,102,0,20,3,150
PHYBench_83,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1130,42,2064,329.0,325.0,7.05,0,formula,,,9,127,5,16,1,202
PHYBench_54,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,549,34,473,186.0,508.0,10.86,0,formula,,,1,23,0,5,1,20
PHYBench_10,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,410,117,1085,185.0,649.0,13.79,0,formula,,,3,48,0,6,1,65
PHYBench_33,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,843,104,1409,262.0,320.0,7.06,0,formula,,,2,28,0,3,1,83
PHYBench_41,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,469,51,352,183.0,558.0,12.1,0,formula,,,4,20,1,5,0,19
PHYBench_453,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,2068,121,1091,533.0,707.0,15.27,0,formula,,,10,65,1,15,11,105
PHYBench_281,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,0,1063,48,1707,315.0,293.0,6.46,0,formula,,,7,45,1,15,0,109
PHYBench_95,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,953,131,3020,307.0,771.0,16.84,0,formula,,,7,139,5,21,5,204
PHYBench_101,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,5,1747,42,3871,472.0,817.0,17.77,0,formula,,,6,154,4,20,7,329
PHYBench_630,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,1166,78,1147,370.0,597.0,12.83,0,formula,,,17,59,0,13,8,114
PHYBench_134,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,304,21,1419,158.0,452.0,9.77,0,formula,,,2,15,1,9,0,55
PHYBench_650,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,767,70,1892,243.0,398.0,8.48,0,formula,,,1,55,0,11,2,106
PHYBench_332,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,4,955,445,2997,287.0,567.0,12.35,0,formula,,,2,82,0,17,9,323
PHYBench_250,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,1077,304,2246,343.0,803.0,17.32,0,formula,,,11,67,1,18,2,142
PHYBench_409,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,1807,72,3453,485.0,513.0,11.22,0,formula,,,3,67,4,20,2,164
PHYBench_133,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,191,21,1029,112.0,467.0,10.19,0,formula,,,0,13,0,11,1,50
PHYBench_336,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,829,101,1447,231.0,593.0,12.75,0,formula,,,0,57,0,10,3,72
