item_id,is_correct_judge
PHYBench_600,1
PHYBench_495,0
PHYBench_321,1
PHYBench_285,1
PHYBench_10,0
PHYBench_54,1
PHYBench_41,1
PHYBench_83,1
PHYBench_674,0
PHYBench_281,1
PHYBench_453,0
PHYBench_33,0
PHYBench_134,1
PHYBench_95,0
PHYBench_630,1
PHYBench_101,0
PHYBench_650,0
PHYBench_250,0
PHYBench_332,0
PHYBench_409,0
PHYBench_133,1
PHYBench_88,
PHYBench_336,0
PHYBench_105,0
PHYBench_702,1
PHYBench_367,1
PHYBench_617,0
PHYBench_497,0
PHYBench_39,1
PHYBench_284,1
PHYBench_55,0
PHYBench_124,1
PHYBench_457,0
PHYBench_419,1
PHYBench_206,1
PHYBench_432,0
PHYBench_458,1
PHYBench_204,1
PHYBench_259,0
PHYBench_716,0
PHYBench_478,0
PHYBench_71,0
PHYBench_766,0
PHYBench_103,1
PHYBench_110,0
PHYBench_310,1
PHYBench_256,0
PHYBench_505,0
PHYBench_331,0
PHYBench_112,0
PHYBench_498,1
PHYBench_737,1
PHYBench_420,0
PHYBench_636,0
PHYBench_228,0
PHYBench_450,0
PHYBench_708,0
PHYBench_688,1
PHYBench_318,1
PHYBench_649,0
PHYBench_62,1
PHYBench_118,0
PHYBench_443,1
PHYBench_143,1
PHYBench_401,0
PHYBench_115,0
PHYBench_493,0
PHYBench_69,0
PHYBench_131,0
PHYBench_65,0
PHYBench_423,1
PHYBench_709,0
PHYBench_36,0
PHYBench_333,0
PHYBench_50,0
PHYBench_221,0
PHYBench_120,1
PHYBench_603,0
PHYBench_670,1
PHYBench_121,0
PHYBench_648,0
PHYBench_72,0
PHYBench_719,1
PHYBench_211,1
PHYBench_653,1
PHYBench_140,0
PHYBench_58,1
PHYBench_139,1
PHYBench_106,0
PHYBench_42,0
PHYBench_43,0
PHYBench_412,0
PHYBench_45,1
PHYBench_117,0
PHYBench_244,1
PHYBench_37,1
PHYBench_654,0
PHYBench_25,1
OlympiadBench_802,1
OlympiadBench_803,0
OlympiadBench_806,1
OlympiadBench_807,1
PHYBench_100,0
OlympiadBench_810,0
OlympiadBench_808,1
PHYBench_89,0
OlympiadBench_812,1
OlympiadBench_816,1
OlympiadBench_813,1
OlympiadBench_819,1
OlympiadBench_811,0
OlympiadBench_823,1
OlympiadBench_814,0
OlympiadBench_817,1
OlympiadBench_826,0
OlympiadBench_828,1
OlympiadBench_821,1
OlympiadBench_837,1
OlympiadBench_840,
OlympiadBench_835,0
OlympiadBench_836,0
OlympiadBench_847,
OlympiadBench_844,1
OlympiadBench_849,1
OlympiadBench_851,0
OlympiadBench_842,0
OlympiadBench_860,0
OlympiadBench_856,0
OlympiadBench_853,0
OlympiadBench_863,1
OlympiadBench_861,0
OlympiadBench_869,0
OlympiadBench_865,0
OlympiadBench_866,0
OlympiadBench_868,0
OlympiadBench_873,1
OlympiadBench_872,1
OlympiadBench_876,1
OlympiadBench_877,1
OlympiadBench_878,1
OlympiadBench_881,1
OlympiadBench_871,0
OlympiadBench_870,0
OlympiadBench_884,1
OlympiadBench_883,1
OlympiadBench_885,0
OlympiadBench_888,0
OlympiadBench_890,0
OlympiadBench_891,1
OlympiadBench_893,0
OlympiadBench_894,0
OlympiadBench_898,0
OlympiadBench_897,0
OlympiadBench_902,1
OlympiadBench_903,1
OlympiadBench_900,0
OlympiadBench_899,0
OlympiadBench_905,1
OlympiadBench_901,0
OlympiadBench_910,1
OlympiadBench_909,1
OlympiadBench_907,1
OlympiadBench_908,0
OlympiadBench_912,0
OlympiadBench_911,1
OlympiadBench_915,0
OlympiadBench_917,0
OlympiadBench_918,0
OlympiadBench_919,0
OlympiadBench_922,0
OlympiadBench_923,0
OlympiadBench_926,0
OlympiadBench_847,0
PHYBench_88,
OlympiadBench_936,0
OlympiadBench_939,0
OlympiadBench_840,1
OlympiadBench_941,1
OlympiadBench_942,1
OlympiadBench_944,1
OlympiadBench_947,1
OlympiadBench_940,
OlympiadBench_928,0
OlympiadBench_954,1
OlympiadBench_955,1
OlympiadBench_949,1
OlympiadBench_972,0
OlympiadBench_957,0
OlympiadBench_974,0
OlympiadBench_929,0
OlympiadBench_982,1
OlympiadBench_973,1
OlympiadBench_984,0
OlympiadBench_956,0
OlympiadBench_986,0
OlympiadBench_989,0
OlympiadBench_985,0
OlympiadBench_988,1
OlympiadBench_987,1
OlympiadBench_1013,0
OlympiadBench_1006,0
OlympiadBench_1015,0
OlympiadBench_1016,0
OlympiadBench_1012,1
OlympiadBench_1014,0
OlympiadBench_1050,1
OlympiadBench_1051,
OlympiadBench_1052,0
OlympiadBench_1017,0
OlympiadBench_1054,0
OlympiadBench_1060,1
OlympiadBench_1061,1
OlympiadBench_1018,1
OlympiadBench_1053,0
OlympiadBench_1062,
OlympiadBench_1063,0
OlympiadBench_1064,0
OlympiadBench_1068,1
OlympiadBench_1069,0
OlympiadBench_1066,1
OlympiadBench_1065,0
OlympiadBench_1067,0
OlympiadBench_1070,1
OlympiadBench_1072,1
OlympiadBench_1098,0
OlympiadBench_1071,0
OlympiadBench_1073,0
OlympiadBench_1101,0
PhysReason_cal_problem_00224,1
PhysReason_cal_problem_00069,1
PhysReason_cal_problem_00272,0
PhysReason_cal_problem_00273,0
PhysReason_cal_problem_00252,0
OlympiadBench_1097,0
PhysReason_cal_problem_00340,0
OlympiadBench_1099,0
PhysReason_cal_problem_00365,1
PhysReason_cal_problem_00419,0
PhysReason_cal_problem_00418,0
PhysReason_cal_problem_00432,1
PhysReason_cal_problem_00575,0
PhysReason_cal_problem_00577,1
PhysReason_cal_problem_00665,0
PhysReason_cal_problem_00840,1
PhysReason_cal_problem_00906,1
PhysReason_cal_problem_00346,0
PhysReason_cal_problem_00915,1
PhysReason_cal_problem_00945,0
PhysReason_cal_problem_01115,1
PhysReason_cal_problem_00701,0
PhysReason_cal_problem_01211,1
PhysReason_cal_problem_01098,0
PhysReason_cal_problem_01276,1
PhysReason_cal_problem_00736,0
PhysReason_cal_problem_01390,0
PhysReason_cal_problem_01469,1
PhysReason_cal_problem_01184,0
PhysReason_cal_problem_01375,0
PhysReason_cal_problem_01515,1
PhysReason_comp_problem_95,0
PhysReason_comp_problem_4,0
